"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"784","WNA","SevenLakes.Calder.2016","lcRlQnhC5noD5c3isF7","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Calder, W.J., 2016. Interactions among climate change, wildfire, and vegetation shaping landscapes for the last 2000 years. Doctoral dissertation. University of Wyoming, Laramie, Wyoming, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.2 - 0",130,"5","1130",40.9,-106.68
"785","WNA","SilverLake.Kirby.2015","WEB6e4417db","LakeSediment","Shoreline (Lake Level)","particle size","Annual","P-E","positive","https://doi.org/10.1016/j.yqres.2015.07.003","https://www.ncei.noaa.gov/access/paleo-search/study/20106","12 - 1.5",39,"6","2570",35.37,-116.14
"786","WNA","SilverLake.Kirby.2015","WEB696efa25","LakeSediment","Other (not calibrated)","C/N","Annual","P-E","negative","https://doi.org/10.1016/j.yqres.2015.07.003","https://www.ncei.noaa.gov/access/paleo-search/study/20106","12 - 1.9",39,"6","2570",35.37,-116.14
"787","WNA","SilverLakeLakeMohave.Wells.2003","pdR0bHPwOODs54avzaw","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Wells et al. (2003)","https://www.ncdc.noaa.gov/paleo/study/28771","12 - 0",31,"Shoreline Dates","Not Available",35.34,-116.11
"788","WNA","StewartBog.JimenezMoreno.2008","lcR5PWLII1WSTWJrKGG","Bog","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2008.04.004","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",50,"11","3070",35.83,-105.72
"789","WNA","TaylorLake.Long.2002","lcRdS5DDFcpoNkFmck3","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1006/qres.2002.2378","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.7 - 0",140,"5","1490",46.1,-123.91
"790","WNA","TiagoLake.Jimenez-Moreno.2011","WEBe350f165","LakeSediment","Pollen (not calibrated)","pollen","Winter","P-E","positive","https://doi.org/10.1130/B30240.1","https://doi.org/10.25921/3vcw-7793","12 - 0",44,"14","1980",40.58,-106.61
"791","WNA","TiogaPassPond.Anderson.1987","lcR87uwkt1JVsPUAXqa","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Anderson, R.S., 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.5 - 0",290,"4","2890",37.91,-119.26
"792","WNA","TulareLake.Negrini.2006","pdRwshhqDptCy27nlfs","Shoreline","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Negrini et al. (2006)","https://www.ncdc.noaa.gov/paleo/study/28771","11.8 - 0.1",616,"Shoreline Dates","Not Available",36.05,-119.78
"793","WNA","UpperBigCreekLake.Shuman.2015","pdRopkg65IV11NRNtq6","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Shuman, Pribyl, and Buettner (2015)","https://www.ncdc.noaa.gov/paleo/study/28771","12 - 0",50,"Shoreline Dates","Not Available",40.91,-106.62
"794","WNA","Walker.Hevly.1985","OLS_RzqaAnmlHbH","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",35.5,-111.67
"795","WNA","WalkerLakeNevada.Adams.2007","pdRD3QFsrrVxQyEFfVO","Shoreline","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Adams (2007); Benson et al. (1991); Bradbury et al. (1989)","https://www.ncdc.noaa.gov/paleo/study/28771","5.5 - 0",100,"Shoreline Dates","Not Available",38.69,-118.7
"796","WNA","YellowLake.Anderson.2012","GH95c4057f","LakeSediment","Lake Sediment (δ18O)","d18O","Winter","P-E","negative","https://doi.org/10.1016/j.gloplacha.2012.05.012","https://www.ncei.noaa.gov/access/paleo-search/study/13120","8.2 - 0",27,"9","1935",39.65,-107.34
"797","WSAF","CederbergMountains.Chase.2015","WEB46f71da9","Midden","Other (not calibrated)","d13C","Annual","P-E","negative","https://doi.org/10..1016/j.quascirev.2015.05.023","https://doi.org/10.1038/s41467-020-19021-3","11.4 - 0",76,"15","1858",-32.45,19.22
"798","WSAF","Dantecave.Sletten.2013","S2LRNNRQiP9T5J","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.palaeo.2013.02.030","http://dx.doi.org/10.17864/1947.256","4.6 - 0",12,"27","506",-19.4,17.88
"799","WSAF","Dantecave.Sletten.2013","S2LRU08Wwzef9a","Speleothem","Speleothem (δ13C)","d13C","Summer","P-E","negative","https://doi.org/10.1016/j.palaeo.2013.02.030","http://dx.doi.org/10.17864/1947.256","4.6 - 0",12,"27","506",-19.4,17.88
"800","WSAF","Eilandvlei.Wuendsch.2018","WEB5aca062f","LakeSediment","Other (not calibrated)","CIA","Annual","P","positive","https://doi.org/10..1016/j.gloplacha.2018.02.002","https://doi.org/10.1594/PANGAEA.887884","8.9 - 0",38,"Not Available","Not Available",-34,22.64
"801","WSAF","GeoB8331_4","WEB594c5634","MarineSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10..1177/0959683618771484","https://doi.org/10.1038/s41467-020-19021-3","9.9 - 0",60,"9","2386",-29.14,16.72
"802","WSAF","NSRZ_PWetQ.Chevalier.2017","WEB96107d21","LakeSediment","Pollen (calibrated)","pollen","Summer","P","positive","https://doi.org/10.1016/j.quascirev.2015.07.009","https://doi.org/10.1016/j.quascirev.2015.07.009","12 - 0",100,"Not Available","Not Available",-27.86,24.74
"803","WSAF","Spitzkoppe.Chase.2009","WEB29d9f1fb","Midden","Other (not calibrated)","d15N","Annual","P-E","negative","https://doi.org/10.1130/G30053A.1","https://doi.org/10.1038/s41467-020-19021-3","11.7 - 0",52,"Not Available","Not Available",-21.83,15.2
"804","WSAF","Voelvlei.Strobel.2021","WEB7ebd522d","LakeSediment","Other (not calibrated)","d13Cwax","Annual","P-E","positive","https://doi.org/10.5194/cp-17-1567-2021","https://doi.org/10.1594/PANGAEA.935616","8.4 - 0.8",53,"Not Available","Not Available",-34.26,21.83
"805","WSB","Bugristoe.Blyakharchuk.1989","lcRQoeD5swxv5zB9KeA","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Blyakharchuk, T.A., 1989. Istorija rastitel'nosti yugovostoka Zapadnoi Sibiri v golotsene po dannym botanicheskogo i sporovo-pyl'tsevogo analiza torfa [The Holocene history of vegetation of south-eastern West Siberia by botanical and pollen analyses of peat deposits]. Doctoral dissertation. Tomsk State University, Tomsk, Russia.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.6 - 4.6",110,"5","3420",58.25,85.17
"806","WSB","GladkoyeBog.Anderson.2002","lcRTqdPXHtWaFMq3hMc","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.2 - 0.1",165,"11","2050",55,83.33
"807","WSB","Issyk.Chen.2008","GH351bb75d","LakeSediment","Other (not calibrated)","hybrid","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2007.10.017","https://doi.org/10.25921/bnxb-1n90","8 - 0",50,"Not Available","Not Available",47.2,87.29
"808","WSB","KaraseLake.Tarasov.1995","lcREJxJv4v4Xe4w8NHU","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Tarasov, P.E. and Kremenetskii, K.V., 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation, 3(1), pp.73-80.","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.3 - 0",150,"6","2020",49.37,75.4
"809","WSB","KarasyeLake.Tarasov.1994","lcR8mj67gLS492AwE9G","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Tarasov, P.E., Harrison, S.P., Saarse, L., Pushenko, M.Y., Andreev, A.A., Aleshinskaya, Z.V., Davydova, N.N., Dorofeyuk, N.I., Efremov, Y.V., Khomutova, V.I., Sevastyanov, D.V., Tamosaitis, J., Uspenskaya, O.N., Yakushko, O.F. and Tarasova, I.V., 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.2 - 0",140,"7","1350",53.03,70.22
"810","WSB","KayakskoyeZaimitschye.Anderson.2002","lcRJSh0UMEWySvvTehJ","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.","https://doi.pangaea.de/10.1594/PANGAEA.930512","7 - 0.1",170,"5","2310",55,81
"811","WSB","KomaritsaPeatExposure.Anderson.2002","lcR2i3W5G42BwI55d4z","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.5 - 0.1",280,"10","1760",57.5,69
"812","WSB","KotyrkolPeatBog.Tarasov.1992","lcR24ksEG9b6zeB53ZK","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Tarasov, P.E., 1992. Holocene palaeogeography of the steppe zone of northern and central Kazakhstan. Doctoral dissertation. Moscow State University, Moscow, Russia (in Russian).","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.8 - 0",200,"7","1040",52.96,70.38
"813","WSB","LukaschinYarPeatExposure.Anderson.2002","lcR6zfg40KfwrtKMP1E","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.4",330,"13","2180",61,78.5
